Ref,Val,Package,PosX,PosY,Rot,Side
"C1,""4.7uF"",""C_0805_2012Metric"",2.850000,25.400000,0.000000,top"
"C2,""10uF"",""C_0805_2012Metric"",16.050000,-21.900000,0.000000,top"
"C3,""0.1u"",""C_0805_2012Metric"",16.050000,-24.000000,0.000000,top"
"C5,""6.8pF/50V"",""C_0805_2012Metric"",-2.200000,22.600000,90.000000,top"
"C7,""10uF"",""C_0805_2012Metric"",8.350000,18.900000,0.000000,top"
"C9,""4.7uF"",""C_0402_1005Metric_small_pads"",18.365000,0.825000,180.000000,top"
"C11,""10u"",""C_0805_2012Metric"",-26.900000,-15.050000,90.000000,top"
"C12,""15pF"",""C_0402_1005Metric"",22.770000,17.300000,0.000000,top"
"C13,""15pF"",""C_0402_1005Metric"",19.800000,17.300000,0.000000,top"
"C14,""4.7uF"",""C_0402_1005Metric_small_pads"",18.365000,-0.175000,180.000000,top"
"C15,""100nF"",""C_0402_1005Metric"",29.330000,6.700000,0.000000,top"
"C16,""4.7uF"",""C_0402_1005Metric"",16.200000,0.350000,90.000000,top"
"C17,""4.7uF"",""C_0402_1005Metric"",20.050000,15.170000,90.000000,top"
"C18,""100nF"",""C_0402_1005Metric"",13.230000,6.300000,180.000000,top"
"C19,""100nF"",""C_0402_1005Metric"",22.400000,-2.070000,-90.000000,top"
"C20,""100nF"",""C_0402_1005Metric"",22.700000,15.270000,90.000000,top"
"C21,""100nF"",""C_0402_1005Metric"",26.920000,-0.900000,0.000000,top"
"C22,""100nF"",""C_0402_1005Metric"",29.380000,4.000000,0.000000,top"
"C23,""100nF"",""C_0402_1005Metric"",13.250000,7.300000,180.000000,top"
"C24,""1uF"",""C_0805_2012Metric"",9.400000,6.437500,0.000000,top"
"C25,""0.1u"",""C_0805_2012Metric"",-20.900000,-15.050000,-90.000000,top"
"C26,""10u"",""C_1206_3216Metric"",12.300000,-16.950000,-90.000000,top"
"C27,""100nF"",""C_0402_1005Metric"",29.470000,9.250000,0.000000,top"
"C28,""100nF"",""C_0402_1005Metric"",14.200000,11.400000,180.000000,top"
"C29,""100nF"",""C_0402_1005Metric"",14.850000,2.100000,-90.000000,top"
"C30,""100nF"",""C_0402_1005Metric"",26.070000,13.600000,0.000000,top"
"C31,""100nF"",""C_0402_1005Metric"",22.650000,-7.650000,180.000000,top"
"C32,""100nF"",""C_0402_1005Metric"",25.200000,-15.200000,180.000000,top"
"C33,""10u"",""C_1206_3216Metric"",12.700000,32.250000,-90.000000,top"
"C34,""10u"",""C_0805_2012Metric"",0.950000,28.525000,90.000000,top"
"D1,""MBR120VLSFT1G"",""D_SOD-123F"",6.963300,15.000000,0.000000,top"
"D2,""SCHOTTKY DIODE SS24 2A 40V SMA SR240 DO-214AC"",""D_1206_3216Metric"",9.040000,33.650000,180.000000,top"
"D3,""MBR120VLSFT1G"",""D_SOD-123F"",2.500000,18.200000,-90.000000,top"
"D4,""MBR120VLSFT1G"",""D_SOD-123F"",38.050000,-17.200000,90.000000,top"
"J1,""F305-1A7H1-11040-E100"",""Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal"",39.700000,0.000000,-90.000000,top"
"J2,""Micro_SD_Card_Det1"",""TF-01A"",-17.559800,-29.500000,0.000000,top"
"J3,""Conn_01x04_Socket"",""532610271"",-0.204500,6.425000,90.000000,top"
"J4,""USB_B_Micro"",""USB_C_Receptacle_G-Switch_GT-USB-7010ASV"",0.000000,-34.505000,0.000000,top"
"J5,""AudioJack2_Ground_Switch"",""pj242"",12.400000,-32.100000,180.000000,top"
"J7,""Conn_01x05_Socket"",""FH12-5S-0.5SH"",-32.700000,-30.400000,-90.000000,top"
"L2,""3.3uH"",""L_Murata_DFE201610P"",18.400000,-1.750000,180.000000,top"
"L3,""2.2uH 35mOhm"",""XFL4020-222MEC"",9.600000,22.350000,-90.000000,top"
"L4,""3.3 uH"",""L_APV_ANR5012"",8.700000,29.600000,-90.000000,top"
"Q1,""DMG2305UX"",""SOT-23"",2.300000,13.037500,180.000000,top"
"Q2,""AO3401"",""SOT-23-3"",5.700000,1.340000,-90.000000,top"
"Q3,""AO3402"",""SOT-23-3"",9.300000,1.337500,90.000000,top"
"Q4,""FDN340P"",""SOT-23"",-15.900000,-15.050000,0.000000,top"
"R1,""200k 1%"",""R_0805_2012Metric"",1.070000,32.850000,90.000000,top"
"R2,""10k"",""R_0805_2012Metric"",-41.325000,-2.200000,-90.000000,top"
"R3,""10k"",""R_0805_2012Metric"",6.100000,-2.500000,-90.000000,top"
"R4,""10k"",""R_0805_2012Metric"",8.100000,-2.500000,90.000000,top"
"R5,""100k"",""R_0805_2012Metric"",10.100000,-2.500000,-90.000000,top"
"R6,""100k"",""R_0805_2012Metric"",5.660000,4.440000,0.000000,top"
"R7,""33R"",""R_0402_1005Metric"",16.200000,-1.550000,90.000000,top"
"R8,""1k"",""R_0402_1005Metric"",21.200000,15.150000,90.000000,top"
"R9,""27R"",""R_0402_1005Metric"",21.400000,-1.910000,90.000000,top"
"R10,""10k"",""R_0805_2012Metric"",20.000000,-15.200000,-90.000000,top"
"R11,""10k"",""R_0805_2012Metric"",-22.900000,-15.050000,-90.000000,top"
"R12,""330"",""R_0805_2012Metric"",20.800000,25.600000,180.000000,top"
"R13,""10k"",""R_0805_2012Metric"",-8.950000,-15.050000,90.000000,top"
"R14,""10k"",""R_0805_2012Metric"",-10.950000,-15.050000,90.000000,top"
"R15,""10k"",""R_0805_2012Metric"",-12.950000,-15.050000,90.000000,top"
"R16,""10k 1%"",""R_0805_2012Metric"",-0.920000,32.840000,-90.000000,top"
"R17,""100M"",""R_0805_2012Metric"",-18.900000,-15.050000,-90.000000,top"
"R18,""1.65k"",""R_0805_2012Metric"",9.400000,4.440000,0.000000,top"
"R19,""20k"",""R_0805_2012Metric"",-24.900000,-15.045068,90.000000,top"
"R20,""5.1k"",""R_0805_2012Metric"",2.500000,-27.450000,-90.000000,top"
"R21,""30k"",""R_0805_2012Metric"",4.670000,18.380000,-90.000000,top"
"R22,""27R"",""R_0402_1005Metric"",20.400000,-1.910000,90.000000,top"
"R23,""10k"",""R_0805_2012Metric"",-1.630000,18.410000,90.000000,top"
"R24,""30k"",""R_0805_2012Metric"",0.340000,18.410000,-90.000000,top"
"R25,""10k"",""R_0805_2012Metric"",40.300000,-17.700000,90.000000,top"
"R26,""5.1k"",""R_0805_2012Metric"",-3.850000,-27.450000,-90.000000,top"
"R27,""10k"",""R_0805_2012Metric"",-39.350000,-5.625000,-90.000000,top"
"R28,""100k"",""R_0805_2012Metric"",-6.550000,-27.450000,90.000000,top"
"R29,""10k (getestet)"",""R_0805_2012Metric"",8.900000,-18.100000,0.000000,top"
"R30,""10k"",""R_0805_2012Metric"",35.000000,-18.500000,180.000000,top"
"R31,""10k"",""R_0402_1005Metric"",31.200000,-15.200000,0.000000,top"
"R32,""10k"",""R_0805_2012Metric"",-39.350000,-2.200000,90.000000,top"
"R33,""120k 1%"",""R_0805_2012Metric"",-0.200000,22.650000,-90.000000,top"
"R34,""27k 1%"",""R_0805_2012Metric"",1.800000,22.650000,90.000000,top"
"R36,""10k"",""R_0805_2012Metric"",-41.325000,-5.625000,90.000000,top"
"SW10,""BTN_ST"",""SW_SPST_TL3342"",59.475000,-27.000000,180.000000,top"
"SW11,""BTN_SEL"",""SW_SPST_TL3342"",49.475000,-27.000000,180.000000,top"
"U2,""sdb628"",""SOT-23-6_Handsoldering"",3.900000,29.225000,-90.000000,top"
"U3,""NS4168"",""SOP-8_3.76x4.96mm_P1.27mm"",16.250000,-16.400000,-90.000000,top"
"U5,""TLV62569PDDCR"",""SOT95P280X110-6N"",4.977500,22.150000,180.000000,top"
"U6,""AO3402"",""SOT-23-3"",35.000000,-15.400000,90.000000,top"
"U8,""TP4054"",""SOT-23-5_HandSoldering"",7.850000,9.837500,-90.000000,top"
"U9,""RP2350B"",""RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias"",21.400000,6.900000,180.000000,top"
"U11,""W25Q128JVS"",""SOIC-8_5.23x5.23mm_P1.27mm"",28.400000,-5.745000,180.000000,top"
"U12,""APS6404L-3SQR"",""SOIC-8_5.23x5.23mm_P1.27mm"",28.400000,-11.600000,180.000000,top"
"Y1,""ABM8-272-T3"",""Crystal_SMD_3225-4Pin_3.2x2.5mm"",21.450000,20.900000,180.000000,top"
